terminate,Cmax,Qcost,Robust,,,random定值
1,62.7,200.3,17.5,,,
2,61.9,185.7,15.5,,,
3,54.9,198.6,23,,,
4,52.4,179.9,12.5,,,
5,55.7,180.8,10.5,,,
6,84.4,176.3,13,,,
7,67.7,187.1,21,,,
8,62.2,192.7,18.5,,,
9,70.6,189.3,18.5,,,
10,52.9,179,13.5,,,
11,61.2,189.4,17,,,
12,53,185.2,19,,,
13,76.8,202,22,,,
14,54.4,170.5,11,,,
15,65.9,180.9,12.5,,,
16,59.5,183.5,16,,,
17,52.2,185.3,16.5,,,
18,57.2,183.6,19.5,,,
19,56.1,186.3,16.5,,,
20,64.2,192.6,18,,,
21,60.5,175.3,10.5,,,
22,59.2,194.4,20,,,
23,73.8,186.8,19.5,,,
24,73.1,192.7,16.5,,,
25,62.5,191.6,19.5,,,
26,62.5,176.4,18,,,
27,58,175,11,,,
28,54.9,193.7,21.5,,,
29,59.8,176.1,12,,,
30,65.5,178.9,20.5,,,
31,63.9,181.4,15.5,,,
32,57.3,175.6,12.5,,,
33,62.5,175.8,12,,,
34,63,179.6,16,,,
35,66.5,182.3,15,,,
36,67,188,19,,,
37,69,175.7,20.5,,,
38,61.2,177.6,16,,,
39,73.6,190.1,21.5,,,
40,63.7,189.4,20.5,,,
41,52.9,192.2,16.5,,,
42,68.3,176.4,16.5,,,
43,61.4,172.5,17,,,
44,59.8,180.2,18,,,
45,54.4,179.7,14,,,
46,49.5,176.1,11.5,,,
47,58.2,175.3,17,,,
48,62.4,176.3,17,,,
49,63.4,184.1,22.5,,,
50,80.7,167.9,15,,,
51,73,181.4,14,,,
52,60.8,186.5,15.5,,,
53,56.5,175.5,12.5,,,
54,58.5,187.7,17.5,,,
55,59.6,188.8,19,,,
56,58.5,183.4,14,,,
57,56.9,191.3,13.5,,,
58,69.8,190.3,19.5,,,
59,75.1,195.3,13.5,,,
60,63.7,190.4,17.5,,,
61,61.8,173.2,13,,,
62,79,190.8,19.5,,,
63,73.2,187.7,16,,,
64,56.1,170.9,10.5,,,
65,93.5,181.1,19,,,
66,59.2,182.5,13.5,,,
67,50.3,185.5,18,,,
68,71.5,182.7,16.5,,,
69,66.6,184.1,20.5,,,
70,64,197.9,21.5,,,
71,65.4,194.7,18.5,,,
72,57,189.5,18.5,,,
73,61.6,181.3,16.5,,,
